,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,date
330,Japura,-0.3167,102.35,84.6,67,95,3.36,ID,1615605677
331,Leningradskiy,69.3833,178.4167,18.79,81,100,10.09,RU,1615605678
332,Saint Anthony,45.0205,-93.218,36.0,64,1,4.7,US,1615605398
333,Meulaboh,4.1363,96.1285,84.58,65,58,3.83,ID,1615605681
334,Chapais,49.7834,-74.8492,8.6,72,90,20.71,CA,1615605466
335,Santa Rosa,14.3122,121.1114,84.2,70,75,11.5,PH,1615605683
336,Xique-Xique,-10.8218,-42.7263,77.38,48,38,9.86,BR,1615605684
337,Vestmannaeyjar,63.4427,-20.2734,34.07,59,97,25.12,IS,1615605686
338,Togur,58.3631,82.8265,-2.61,97,98,4.79,RU,1615605687
339,Taltal,-25.4,-70.4833,64.87,87,1,2.44,CL,1615605688
340,Upernavik,72.7868,-56.1549,-2.07,65,24,2.15,GL,1615605489
341,Ancud,-41.8697,-73.8203,54.0,87,0,4.61,CL,1615605690
342,Uberlândia,-18.9186,-48.2772,67.95,88,38,4.99,BR,1615605692
343,Verkhnevilyuysk,63.4453,120.3167,10.36,92,100,6.76,RU,1615605693
344,Manggar,-2.8833,108.2667,85.3,64,100,5.32,ID,1615605694
345,Neosho,36.869,-94.368,48.99,96,100,5.01,US,1615605605
346,Alofi,-19.0595,-169.9187,84.2,70,17,4.61,NU,1615605697
347,Kinwat,19.6333,78.2,80.6,25,0,7.81,IN,1615605698
348,Katangli,51.7102,143.2326,32.25,93,19,13.44,RU,1615605699
349,San Lorenzo,-25.3333,-57.5333,73.4,68,0,4.61,PY,1615605701
350,Silopi,37.2497,42.4694,39.63,60,0,5.28,TR,1615605702
351,Egvekinot,66.3167,-179.1667,25.34,97,100,24.32,RU,1615605703
352,Hay River,60.8156,-115.7999,6.8,61,85,5.75,CA,1615605704
353,Sulangan,11.1373,123.7228,79.81,77,99,2.89,PH,1615605706
354,Partenit,44.578,34.3446,37.0,58,57,7.0,UA,1615605707
355,Sakakah,29.9697,40.2064,46.4,66,0,4.61,SA,1615605708
